Codice_ateco,Descrizione_ateco
43.3,43.3 - COMPLETAMENTO E FINITURA DI EDIFICI
43.31,43.31 - Intonacatura
43.31.0,43.31.0 - Intonacatura e stuccatura
43.31.0,43.31.00 - Intonacatura e stuccatura
43.32,43.32 - Posa in opera di infissi
43.32.0,"43.32.0 - Posa in opera di infissi, arredi, controsoffitti, pareti mobili e simili"
43.32.1,"43.32.01 - Posa in opera di casseforti, forzieri, porte blindate"
43.32.2,"43.32.02 - Posa in opera di infissi, arredi, controsoffitti, pareti mobili e simili"
43.33,43.33 - Rivestimento di pavimenti e di muri
43.33.0,43.33.0 - Rivestimento di pavimenti e di muri
43.33.0,43.33.00 - Rivestimento di pavimenti e di muri
43.34,43.34 - Tinteggiatura e posa in opera di vetri
43.34.0,43.34.0 - Tinteggiatura e posa in opera di vetri
43.34.0,43.34.00 - Tinteggiatura e posa in opera di vetri
43.39,43.39 - Altri lavori di completamento e di finitura degli edifici
43.39.0,43.39.0 - Altri lavori di completamento e di finitura degli edifici
43.39.1,43.39.01 - Attività non specializzate di lavori edili (muratori)
43.39.9,43.39.09 - Altri lavori di completamento e di finitura degli edifici nca
43.9,43.9 - ALTRI LAVORI SPECIALIZZATI DI COSTRUZIONE
43.91,43.91 - Realizzazione di coperture
43.91.0,43.91.0 - Realizzazione di coperture
43.91.0,43.91.00 - Realizzazione di coperture
43.99,43.99 - Altri lavori specializzati di costruzione nca
43.99.0,43.99.0 - Altri lavori specializzati di costruzione nca
43.99.1,"43.99.01 - Pulizia a vapore, sabbiatura e attività simili per pareti esterne di edifici"
43.99.2,43.99.02 - Noleggio di gru ed altre attrezzature con operatore per la costruzione o la demolizione
43.99.9,43.99.09 - Altre attività di lavori specializzati di costruzione nca
62,"62 - PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITÀ CONNESSE"
62.0,"62.0 - PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITÀ CONNESSE"
62.1,62.01 - Produzione di software non connesso all'edizione
62.1.0,62.01.0 - Produzione di software non connesso all'edizione
62.1.0,62.01.00 - Produzione di software non connesso all'edizione
62.2,62.02 - Consulenza nel settore delle tecnologie dell'informatica
62.2.0,62.02.0 - Consulenza nel settore delle tecnologie dell'informatica
62.2.0,62.02.00 - Consulenza nel settore delle tecnologie dell'informatica
62.3,62.03 - Gestione di strutture informatizzate
62.3.0,62.03.0 - Gestione di strutture e apparecchiature informatiche hardware - housing (esclusa la riparazione)
62.3.0,62.03.00 - Gestione di strutture e apparecchiature informatiche hardware - housing (esclusa la riparazione)
62.9,62.09 - Altre attività dei servizi connessi alle tecnologie dell'informatica
62.9.0,62.09.0 - Altre attività dei servizi connessi alle tecnologie dell'informatica
62.9.1,62.09.01 - Configurazione di personal computer
62.9.9,62.09.09 - Altre attività dei servizi connessi alle tecnologie dell'informatica nca
63,63 - ATTIVITÀ DEI SERVIZI D'INFORMAZIONE E ALTRI SERVIZI INFORMATICI
63.1,"63.1 - ELABORAZIONE DEI DATI, HOSTING E ATTIVITÀ CONNESSE; PORTALI WEB"
63.11,"63.11 - Elaborazione dei dati, hosting e attività connesse"
63.11.1,63.11.1 - Elaborazione dati
63.11.11,63.11.11 - Elaborazione elettronica di dati contabili (esclusi i Centri di assistenza fiscale - Caf)
63.11.19,63.11.19 - Altre elaborazioni elettroniche di dati
63.11.2,63.11.2 - Gestione database (attività delle banche dati)
63.11.20,63.11.20 - Gestione database (attività delle banche dati)
63.11.3,63.11.3 - Hosting e fornitura di servizi applicativi (ASP)
63.11.30,63.11.30 - Hosting e fornitura di servizi applicativi (ASP)
63.12,63.12 - Portali web
63.12.0,63.12.0 - Portali web
63.12.0,63.12.00 - Portali web
63.9,63.9 - ALTRE ATTIVITÀ DEI SERVIZI D'INFORMAZIONE
63.91,63.91 - Attività delle agenzie di stampa
63.91.0,63.91.0 - Attività delle agenzie di stampa
63.91.0,63.91.00 - Attività delle agenzie di stampa
63.99,63.99 - Altre attività dei servizi di informazione nca
63.99.0,63.99.0 - Altre attività dei servizi di informazione nca
63.99.0,63.99.00 - Altre attività dei servizi di informazione nca
